url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,has_ip,has_at,num_subdomains,has_https,path_depth,has_port,entropy,is_shortening,has_suspicious,http_status_code,http_response_time,http_redirect_count,content_length,server_type,ssl_valid,ssl_days_remaining,ssl_issuer_trusted,ssl_self_signed,ssl_cert_age_days,dns_resolve_time,dns_record_count,dns_has_mx,label
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.375,0,0,403,0.192,0,358,5,1,214,1,0,143,0.179,1,1,0
40,25,7,3,2,0,3,0,0,0,1,1,0,0,4.021,1,0,200,2.446,0,17850,0,1,88,0,0,1,0.327,1,0,1
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.5766,0,0,200,0.978,0,707824,4,1,62,0,0,27,0.04,2,0,0
79,15,56,2,0,0,5,6,0,0,1,1,2,0,4.547,0,1,200,1.812,2,116787,5,1,62,0,0,21,0.001,1,1,1
14,6,0,1,0,0,2,0,0,0,0,1,0,0,3.3788,0,0,200,1.802,0,7012,5,1,86,0,0,3,0.342,1,0,0
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.4548,0,0,200,2.097,1,182731,2,1,83,0,0,6,0.047,1,0,0
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.8797,0,0,200,0.379,0,1009201,4,1,42,0,0,47,0.026,1,0,0
14,6,0,1,0,0,2,0,0,0,0,1,0,0,3.5216,0,0,200,0.404,0,63009,5,1,79,0,0,11,0.022,4,1,0
41,32,1,2,2,0,3,0,0,0,1,1,0,0,3.9361,0,0,403,0.263,0,4553,4,1,81,0,0,8,0.16,2,0,1
27,18,1,2,0,0,3,0,0,0,1,1,0,0,3.5138,0,0,200,1.827,0,28169,1,1,65,0,0,24,0.505,1,0,1
32,23,1,2,1,0,3,0,0,0,1,1,0,0,4.2028,0,0,404,0.335,0,906,4,1,64,0,0,25,0.001,2,0,1
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.7255,0,0,200,3.153,1,411203,0,1,55,0,0,34,0.239,1,1,0
84,15,61,2,0,2,6,9,0,0,1,1,3,0,4.877,0,1,403,0.446,0,7657,5,1,62,0,0,21,0.001,1,1,1
40,24,8,2,1,0,3,3,0,0,1,1,0,0,4.3751,0,0,200,0.377,0,523402,5,1,82,0,0,7,0.036,1,0,1
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.2928,0,0,200,1.714,0,445672,5,1,355,1,0,41,0.03,1,0,0
23,4,11,1,0,0,3,3,0,0,0,1,0,0,3.7951,1,0,200,0.294,0,277,4,1,49,0,0,40,0.001,1,0,1
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7216,0,0,200,0.44,1,212064,4,1,78,0,0,11,0.084,2,1,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.625,0,0,200,0.557,1,93991,2,1,22,0,0,7,0.071,3,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7871,0,0,200,3.151,0,260722,1,1,28,1,0,363,0.198,1,1,0
28,20,0,1,0,0,2,0,0,0,0,1,0,0,4.0122,0,1,200,1.358,2,201253,5,1,154,0,0,25,0.071,1,1,0
79,70,1,2,0,0,3,2,0,0,1,1,0,0,4.4231,0,1,200,0.574,0,24639,4,1,79,0,0,10,0.071,2,0,1
16,8,0,1,0,0,2,1,0,0,0,1,0,0,3.625,0,0,200,2.596,2,392030,0,1,322,1,0,44,0.192,2,1,0
